title,author/0,translator/0,o_title,o_language/0,wikidata,notes,links,volume,nybc_id,date,downloads,item_size,place/0,publisher/0,year,author/1,author/2,author/3,place/1,author/4,author/5,translator/1,o_language/1,place/2,publisher/1,o_language/2,translator/2,translator/3,translator/4
Eyns poeme,"Amir-Pinkerfeld, Anda","Shenhod, Shlomo",אחת,Hebrew,,,,,nybc209107,1982-01-01T00:00:00Z,148,39970209,Tel-Aviv,Farlag Y.L. Perets,1982,,,,,,,,,,,,,,
Der meylekh's naye ḳleyd,"Andersen, Hans Christian",Der Nister,unknown,Danish,,anthology,,,nybc212875,1919-01-01T00:00:00Z,403,4584969,Kyiv,Ḳiyeṿer farlag,1919,,,,,,,,,,,,,,
Hans Ḳrisṭyan Andersen mayśe'lekh af Yidish,"Andersen, Hans Christian","Goldshteyn, Yitskhok-Leyb",unknown,Danish,,anthology,,,nybc217735,2015-01-01T00:00:00Z,344,208070554,,,2015,,,,,,,,,,,,,,
Der royṭer gelekhṭer,"Andreyev, Leonid","Rozenfeld, Sh.",Красный смех,Russian,Q4239720,,,,nybc205789,,144,20613856,New York,M. Yankovits,unknown,,,,,,,,,,,,,,
Der Ashmeday ṭragishes shoyshpil in zieben bilder,"Andreyev, Leonid","Katts, M., 1864-1941",Анатэма,Russian,,,,,nybc205770,1909-01-01T00:00:00Z,139,22702764,New York,Hebrew publishing company,1909,,,,,,,,,,,,,,
Sanin roman,"Artsybashev, Mikhail","Edelheit, Salomon, 1882-",Санин,Russian,Q17088580,,,,nybc205970,1949-01-01T00:00:00Z,201,74762288,New York,M. Yankovits,1949,,,,,,,,,,,,,,
Sanin roman,"Artsybashev, Mikhail","Kobrin, Leon",Санин,Russian,Q17088580,,,,nybc204334,1909-01-01T00:00:00Z,171,109685944,New York,Ṿahrhayṭ poblishing ḳompani,1909,,,,,,,,,,,,,,
Der letsṭer shṭriḳh roman in tsvey bend,"Artsybashev, Mikhail","Sorin, Ts. 1892-1962",У последней черты,Russian,,,,1,nybc205955,2021-09-19T00:00:00Z,134,79513884,New York,M. Yankovits,unknown,,,,,,,,,,,,,,
Der letsṭer shṭriḳh roman in tsvey bend,"Artsybashev, Mikhail","Sorin, Ts. 1892-1962",У последней черты,Russian,,,,2,nybc205956,2022-11-19T00:00:00Z,133,71467342,New York,M. Yankovits,unknown,,,,,,,,,,,,,,
Shoṭns in shpigl lider,"Ausländer, Rose","Weininger, Freed",Schatten im Spiegel,German,,,,,nybc205475,1981-01-01T00:00:00Z,666,6784590,Tel-Aviv,H. Leyvik-Farlag,1981,,,,,,,,,,,,,,
Bluṭ oyfn tseylem,"Bąk, Władysław",unknown,unknown,Polish,,anthology,,,nybc209077,1973-01-01T00:00:00Z,139,71907828,Tel-Aviv,Y. L. Perets,1973,,,,,,,,,,,,,,
Di Yidn-shṭoṭ Lublin,"Bałaban, Majer","Schusheim, A. L.",Die Judenstadt von Lublin,German,,,,,nybc206068,1947-01-01T00:00:00Z,419,51087953,Buenos Aires,Tsentral-farband fun Poylishe Yidn in Argentine,1947,,,,,,,,,,,,,,
Zikhroynes̀ un iberlebenishn,"Balabanoff, Angelica","Rapoport, Y.",Erringerungen und Erlebnisse,German,,,,,nybc206062,1929-01-01T00:00:00Z,199,114484939,Warsaw,Kh. Bzhoza,1929,,,,,,,,,,,,,,
Dertseylungen fun a langn ṿeg,"Bankover, Joseph","Berkman, Yoyne",סיפורים מדרך ארוכה,Hebrew,,,,,nybc206065,1976-01-01T00:00:00Z,134,93061445,Tel-Aviv,Y. L. Perets,1976,,,,,,,,,,,,,,
Gehenem,"Barbusse, Henri","Bornshteyn, Elim",L’enfer,French,Q5706510,,,,nybc206111,1929-01-01T00:00:00Z,173,87142635,Warsaw,Kh. Bzhoza,1929,,,,,,,,,,,,,,
Ṿunder mayśes̀,"Basile, Gimabattista","Horovits, Yitskhok",Il Pentamerone,Neapolitan,Q1473417,,,,nybc206064,1945-01-01T00:00:00Z,223,25425771,New York,Matones̀,1945,,,,,,,,,,,,,,
Dos ṿarṭn oyf Godo,"Beckett, Samuel","Shkilnik, Gizela",En attendant Godot,French,Q19871,translated via german,,,nybc202469,1980-01-01T00:00:00Z,240,23698151,Tel-Aviv,Farlag Y.L. Perets,1980,,,,,,,,,,,,,,
Tsum Yidish-Arabishn problem a zamlung arṭiḳlen,"Beilinson, Moshe","Spizmain, Leib",בימי מסה,Hebrew,,,,,nybc202173,1930-01-01T00:00:00Z,186,40543770,Warsaw,ha-Ḥaluts,1930,,,,,,,,,,,,,,
In hunderṭ yohr arum,"Bellamy, Edward","Druck, David",Looking Backward,English,Q1305106,,,,nybc206354,1906-01-01T00:00:00Z,249,67574850,Warsaw,Progres,1906,,,,,,,,,,,,,,
Yiśroel in ḳrig,"Ben-Gurion, David",unknown,בהילחם ישראל,Hebrew,,,,,nybc206271,1951-01-01T00:00:00Z,204,111682077,New York,Di Pyonern froyen,1951,,,,,,,,,,,,,,
Sotsyalizmus un zayn rikhṭige bedayṭung,"Benson, Allan","Zametkin, M.",Socialism made Plain,English,,,,,nybc204255,1913-01-01T00:00:00Z,138,27271131,New York,Forverts,1913,,,,,,,,,,,,,,
Gefengnis-erinerungen fun an anarkhisṭ,"Berkman, Alexander","Frumkin, A.",Prison Memoirs of an Anarchist,English,Q7245749,,,,nybc206396,1920-01-01T00:00:00Z,254,62829080,New York,M. A. Fiṭtsdzsherold,1920,,,,,,,"Katts, M., 1864-1941",,,,,,,
Ershṭe shprotsungen zikhroynes̀,"Bernstein, Leon","Rabkin, E.",unknown,Russian,,,,,nybc206310,1956-01-01T00:00:00Z,199,69502300,Buenos Aires,Yidbukh,1956,,,,,,,,,,,,,,
Shirim lider un poemen,"Bialik, Hayyim Nahman",unknown,unknown,Hebrew,,anthology,,,nybc206229,1922-01-01T00:00:00Z,573,20461620,Berlin,Klal-farlag,1922,,,,,,,,,,,,,,
Goṭs folḳ,"Birnbaum, Nathan",unknown,Gottes Volk,German,,,,,nybc201665,1921-01-01T00:00:00Z,234,17464516,Berlin,Ṿelṭ-farlag,1921,,,,,,,,,,,,,,
Pasḳarela,"Boccaccio, Giovanni","Hermalin, D. M.",unknown,,,"quite sure this is fake, just like the other Hermalin Boccacio translations",,,nybc201258,1899-01-01T00:00:00Z,198,31037174,New York,B. Rabinovitts,1899,,,,,,,,,,,,,,
Dray aṭenṭaṭn af Ṿ.A. Lenin,"Bonch-Bruyevich, Vladimi","Y., A.",Покушение на В. И. Ленина,Russian,,,,,nybc210995,1931-01-01T00:00:00Z,139,66647859,Moscow,"Tsentraler felker-farlag fun F.S.S.R., vaysrusishe opteylung",1931,,,,Kharkiv,,,,,Minsk,,,,,
Poyle Tsien shriften,"Borochov, Ber","Landau, Louis",Наша Платформа,Russian,,,,1,nybc200921,1920-01-01T00:00:00Z,305,70807199,New York,Poyle Tsien,1920,,,,,,,,,,,,,,
Ferdinand Lasal,"Brandes, Georg","Lakson, L",Ferdinand Lassalle,Danish,,,,1,nybc201863,1920-01-01T00:00:00Z,151,40593189,New York,Maks Mayzel,1920,,,,,,,"Rivkin, B.",,,,,,,
Ferdinand Lasal,"Brandes, Georg","Lakson, L",Ferdinand Lassalle,Danish,,,,2,nybc201864,1920-01-01T00:00:00Z,166,43688163,New York,Maks Mayzel,1920,,,,,,,"Rivkin, B.",,,,,,,
Shimshn,"Brandys, Kazimierz","Volanski, B.",Samson,Polish,,,,,nybc206924,1958-01-01T00:00:00Z,95,425814168,Buenos Aires,Heymland,1958,,,,,,,,,,,,,,
Memuarn fun a sotsyalisṭin,"Braun, Lily","Rakovski, Pue",Memoiren einer Sozialistin,German,Q19219625,,,,nybc201464,1924-01-01T00:00:00Z,149,68861528,Warsaw,Sh. Goldfarb,1924,,,,,,,,,,,,,,
Zamlbukh tsum tsṿantsiḳsṭn yortsayṭ,unknown,unknown,unknown,Hebrew,,anthology,,,nybc200395,1941-01-01T00:00:00Z,298,126636362,New York,"Y. Ḥ. Brener Tsṿayg 169, Yidish Natsyonaler Arbeṭer Farband",1941,,,,,,,,,,,,,,
Ṿinṭer roman,"Brenner, Joseph Hayyim","Malkin, Dov Ber, 1901-1966",בחורף,Hebrew,Q56243658,,,,nybc202285,1936-01-01T00:00:00Z,193,63433659,Warsaw,Literarishe bleter,1936,,,,,,,,,,,,,,
Di ḳleyne erd. Ṿidergeburṭ. Tselina,"Brezhnev, Leonid",unknown,Воспоминания Брежнева,Russian,Q4463070,,,,nybc202971,1979-01-01T00:00:00Z,241,61750438,Moscow,Sovetski pisatel,1979,,,,,,,,,,,,,,
Der ṿeg tsum zig,"Browder, Earl","Bukhvald, N.",Victory – and after,English,,,,,nybc206402,1943-01-01T00:00:00Z,131,79124964,New York,"""Morgn-Freyheyt""",1943,,,,,,,,,,,,,,
Shṭegn in Uṭopye,"Buber, Martin","Birnboym, Y.",Pfade in Utopia,German,Q5742448,,,,nybc206107,1959-01-01T00:00:00Z,273,49143030,Buenos Aires,Bukhgemeynshaft bay der Yidisher ratsyonalistisher gezelshaft,1959,,,,,,,,,,,,,,
Dray reden iber Idenṭum,"Buber, Martin","Frank, H.",Drei reden über das Judentum,German,,,,,nybc211199,1921-01-01T00:00:00Z,331,18117658,Berlin,Yidisher farlag,1921,,,,,,,,,,,,,,
Di geshikhṭe fun der Yidisher arbeṭer-baṿegung in Rusland loyṭ niṭ-gedruḳṭe arkhiṿ-maṭeryaln,"Buchbinder, Nahum","Roykhel, David, 1890-1941",История еврейского рабочего движения в России,Russian,,,,,nybc202647,1931-01-01T00:00:00Z,195,118063784,Vilne,Tomor,1931,,,,,,,,,,,,,,
Di geshikhṭe fun der Yidisher arbeṭer-baṿegung in Rusland loyṭ niṭ-gedruḳṭe arkhiṿ-maṭeryaln,"Buchbinder, Nahum","Roykhel, David, 1890-1941",История еврейского рабочего движения в России,Russian,,,,,nybc206153,1931-01-01T00:00:00Z,216,109110527,Vilne,Tomor,1931,,,,,,,,,,,,,,
Lehr-bikhel fun di Fareynigṭe Shṭaaṭen far di informatsyon fun imigranṭen,"Buel, Elizabeth",unknown,"Manual of the United States, for the information of immigrants and foreigners",English,,,,,nybc203194,1925-01-01T00:00:00Z,192,24672613,"Washington, D.C.",Natsyonaler gezelshaft Tekhṭer fun der Ameriḳaner Reṿolutsyon,1925,,,,,,,,,,,,,,
Ṭeorye fun hisṭorishn maṭerializm,"Bukharin, Nikolai","Lerman, Sara",Теория исторического материализма,Russian,,,,1,nybc206154,,123,91805394,Warsaw,M. Yerukhemzon,unknown,,,,,,,,,,,,,,
Ṭeorye fun hisṭorishn maṭerializm,"Bukharin, Nikolai","Lerman, Sara",Теория исторического материализма,Russian,,,,2,nybc206155,,91,94956734,Warsaw,M. Yerukhemzon,unknown,,,,,,,,,,,,,,
Der alef-beys̀ fun ḳomunizm a poplulere derḳlerung fun der program fun der Ruslendisher Ḳomunisṭisher Parṭay (Bolsheṿiḳes),"Bukharin, Nikolaĭ Ivanovich","Rozental, A.",Азбука коммунизма,Russian,Q10338664,,,,nybc211147,1920-01-01T00:00:00Z,239,255036990,Moscow,Ḳomunisṭishe ṿelṭ,1920,"Preobrazhenskiĭ, E. A.",,,,,,,,,,,,,
Di rayze fun dem ṿanderer tsum Barg Tsiyen ayn zehr ṿunderbare ertseylung ...,"Bunyan, John",Khamad,The Pilgrim’s Progress,Russian,Q268211,,,,nybc206246,,280,46401563,London,[o. fg.],unknown,,,,,,,,,,,,,,
Der gefangener fun Shilon,"Byron, George Gordon","Asen, Abraham, 1896-",The Prisoner of Chillon,English,Q3795283,,,,nybc206250,1925-01-01T00:00:00Z,180,6494384,New York,Farlag feder,1925,,,,,,,,,,,,,,
Idishe dikhṭer in Ḳanade,unknown,unknown,unknown,,,anthology,,,nybc209868,1934-01-01T00:00:00Z,200,6494878,Montreal,"Farlag ""Nyuansn""",1934,,,,,,,,,,,,,,
Di Grikhishe filozofye,"Capelle, Wilhelm","Rapoport, Y.",Die griechische Philosophie,German,,,,,nybc211215,1929-01-01T00:00:00Z,187,100279472,Warsaw,[o. fg.],1929,,,,New York,,,,,,,,,,
"Ṭransnisṭrye lebn, laydn un umḳum fun Besarabishe, Bukoṿiner un Rumenishe Yidn","Carp, Matatias","Vaynshenker, Yitskhok",Cartea Neagră,Romanian,Q6723609,,,,nybc211315,1950-01-01T00:00:00Z,269,74849431,Buenos Aires,Besaraber landsleyṭ-farayn in Argenṭine,1950,,,,,,,,,,,,,,
Geshikhṭe fun Don Ḳikhoṭ,"Cervantes, Miguel de","Harkavy, Alexander",Don Quixote,Spanish,Q480,,,,nybc203136,1910-01-01T00:00:00Z,390,239055347,New York,Hibru poblishing kompani,1910,,,,,,,,,,,,,,
Don Ḳiḥoṭ,"Cervantes, Miguel de","Zetser, Shmuel, 1882-1962",Don Quixote,Spanish,Q480,,,,nybc205230,1911-01-01T00:00:00Z,645,52310056,Warsaw,Bikher-far-ale,1911,,,,,,,,,,,,,,
Ṿos ṭhuṭ men? roman,"Chernyshevsky, Nikolai",unknown,Что делать,Russian,Q2251772,,,1,nybc207941,1917-01-01T00:00:00Z,176,90927769,New York,Literarisher farlag,1917,,,,,,,,,,,,,,
Ṿos ṭhuṭ men? roman,"Chernyshevsky, Nikolai",unknown,Что делать,Russian,Q2251772,,,2,nybc207942,1917-01-01T00:00:00Z,138,73085797,New York,Literarisher farlag,1917,,,,,,,,,,,,,,
Der Idisher prezidenṭ Deyṿid Izraels,"Copley, Frank","Barondess, Joseph",The Impeachment of President Israels,English,,,,,nybc204955,1916-01-01T00:00:00Z,138,18755158,New York,Literarisher farlag,1916,,,,,,,,,,,,,,
In gerangl farn lebn shpiṭol-bleṭer,"Damesek, Solomon",unknown,בגורלי,Hebrew,,,,,nybc207031,1958-01-01T00:00:00Z,135,29048334,New York,Aroysgegebn fun talmidim un fraynd,1958,,,,,,,,,,,,,,
Lehr-bikhel fun di Fereynigṭe shṭaaṭen far di informatsyon fun imigranṭen,"Buel, Elizabeth",unknown,"Manual of the United States, for the information of immigrants and foreigners",English,,,,,nybc205005,1922-01-01T00:00:00Z,139,20005854,"Washington, D.C.",Der Natsyonaler gezelshafṭ Ṭekhṭer fun der Ameriḳaner reṿolutsyon (Doṭhers oṿ di Ameriḳan Reṿolushon),1922,,,,,,,,,,,,,,
D.A.R. lern-bikhl far birgershafṭ,"Buel, Elizabeth",unknown,D.A.R. manual for citizenship,English,,,,,nybc201361,1948-01-01T00:00:00Z,203,25661340,"Washington, D.C.",Aroysgegebn fun der Natsyonaler gezelshafṭ ṭekhṭer fun der Ameriḳaner reṿolutsye,1948,,,,,,,,,,,,,,
Lehr-bikhel fun D.A.R. far Birgershafṭ,"Buel, Elizabeth",unknown,D.A.R. manual for citizenship,English,,,,,nybc202211,1940-01-01T00:00:00Z,176,16026825,"Washington, D.C.",Natsyonaler gezelshaft Tekhṭer fun der Ameriḳaner Reṿolutsyon,1940,,,,,,,,,,,,,,
Shuln in Poyln,"Davidovitch, David","Kozhen, Mayer",unknown,Hebrew,,,,,nybc206891,1961-01-01T00:00:00Z,301,245754159,Buenos Aires,Tsentral-farband fun Poylishe Yidn in Argentine,1961,,,,,,,,,,,,,,
Dos harts,"De Amicis, Edmondo","Sheynberg, Shloyme",Cuore,Italian,Q11336,,,,nybc202194,1923-01-01T00:00:00Z,148,159355150,Warsaw,Yatshkovski,1923,,,,,,,,,,,,,,
Dos harts,"De Amicis, Edmondo","Sheynberg, Shloyme",Cuore,Italian,Q11336,,,,nybc201421,1927-01-01T00:00:00Z,264,90541415,Warsaw,Kh. Bzhoza,1927,,,,,,,,,,,,,,
Robinzon,"Defoe, Daniel","Reyzen, Zalman",Robinson Crusoe,English,Q483034,,,,nybc205053,1909-01-01T00:00:00Z,439,53045775,Warsaw,Bikher-far-ale,1909,,,,,,,"Reyzen, Sore",,,,,,,
Yidn in der Rusisher reṿolutsye zikhroynes̀ ṿegn Yidn-reṿolutsyonern,"Deutsch, Leo","Korman, E.",Роль евреев в русском революционном движении,Russian,,,,,nybc202632,1923-01-01T00:00:00Z,210,72323478,Berlin,Yidisher liṭerarisher farlag,1923,,,,,,,,,,,,,,
"Geheym-dinsṭ fun ""Hagana"" in Erets Yiśroel","Dekel, Efrayim",unknown,עלילות ש‟י,Hebrew,,,,,nybc207008,1955-01-01T00:00:00Z,250,128851654,Buenos Aires,Ḳiyem,1955,,,,,,,,,,,,,,
"ṿos zol men lehrnen, Torat Mosheh oder naṭurṿisenshafṭ?","Dodel, Arnold","Bromberg, S.",Moses oder Darwin,German,,,,,nybc211607,1910-01-01T00:00:00Z,231,37840611,London,"Ferlag ""Progres""",1910,,,,,,,,,,,,,,
Di trehren-inzel,"Doroshevich, Vlas","Goldshteyn, M.",Сахалин: Каторга,Russian,,,,,nybc201420,1920-01-01T00:00:00Z,213,208258760,Warsaw,A. Gitlin,1920,,,,,,,,,,,,,,
Farbrekhen un shṭrof Prestuplenie i nakazanie,"Dostoyevsky, Fyodor","Orlov, P.",Преступление и наказание,Russian,Q165318,,,1,nybc206905,1918-01-01T00:00:00Z,258,90570797,New York,M. Yankovits,1918,,,,,,,,,,,,,,
Farbrekhen un shṭrof Prestuplenie i nakazanie,"Dostoyevsky, Fyodor","Orlov, P.",Преступление и наказание,Russian,Q165318,,,2,nybc206906,1918-01-01T00:00:00Z,171,138624780,New York,M. Yankovits,1918,,,,,,,,,,,,,,
Ferbrekhen un shṭrof roman,"Dostoyevsky, Fyodor","Reyzen, Zalman",Преступление и наказание,Russian,Q165318,,,,nybc211570,1912-01-01T00:00:00Z,229,115028225,Warsaw,Progres,1912,,,,,,,,,,,,,,
Erniderigṭe un baleydigṭe roman in 4 ṭeylen un 2 bender,"Dostoyevsky, Fyodor","Shveyd, Mark",Униженные и оскорблённые,Russian,Q1130546,,,1,nybc206908,,192,61430859,New York,M. Yankovits,unknown,,,,,,,,,,,,,,
Erniderigṭe un baleydigṭe roman in 4 ṭeylen un 2 bender,"Dostoyevsky, Fyodor","Shveyd, Mark",Униженные и оскорблённые,Russian,Q1130546,,,2,nybc206909,,147,75697358,New York,M. Yankovits,unknown,,,,,,,,,,,,,,
Zikhroynes̀ fun ṭoyṭn hoyz roman in tsṿey ṭeyln,"Dostoyevsky, Fyodor","Zylberman, E.",Записки из Мёртвого дома,Russian,Q1161171,,,1,nybc211218,,525,104381211,Warsaw,Yatshkovski,unknown,,,,,,,,,,,,,,
Dos lebn un shafn fun Shimʼon Dubnov,"Dubnov-Erlikh, Sofia","Ferdman, Moyshe",Жизнь и творчество С М Дубнова,Russian,,,,,nybc207005,1952-01-01T00:00:00Z,263,93471361,Mexico City,Shelomoh Mendelson Fond bay der Gezelshafṭ far Ḳulṭur un Hilf,1952,,,,,,,,,,,,,,
Geshikhṭe fun Ḥasidizm oyfn yesod fun originele meḳoyrim gedruḳṭe un ksav-yadn,"Dubnow, Simon","Kalmanovitch, Zelig",תולדות החסידות,Hebrew,,,,1,nybc206951,1930-01-01T00:00:00Z,362,82415637,Vilne,B. Kletskin,1930,,,,,,,,,,,,,,
Di naysṭe geshikhṭe fun Yidishn folḳ,"Dubnow, Simon","Shtif, Nokhem",Новейшая история еврейского народа,Russian,,,,3,nybc206927,1931-01-01T00:00:00Z,244,261431015,Warsaw,Kultur lige,1931,,,,,,,,,,,,,,
Geshikhṭe fun Ḥasidizm oyfn yesod fun originele meḳoyrim gedruḳṭe un ksav-yadn,"Dubnow, Simon","Kalmanovitch, Zelig",תולדות החסידות,Hebrew,,,,2,nybc206952,1930-01-01T00:00:00Z,297,98056042,Vilne,B. Kletskin,1930,,,,,,,,,,,,,,
Ṿelṭ-geshikhṭe fun Yidishn folḳ fun di elṭsṭe tsayṭn biz tsu der haynṭiḳer tsayṭ,"Dubnow, Simon","Rapoport, Y.",История еврейского народа,Russian,,,,1,nybc206956,1938-01-01T00:00:00Z,287,209231318,Vilne,"Yidisher ṿisnshafṭlekher insṭiṭuṭ, Hisṭorishe seḳtsye",1938,,,,,,,,,,,,,,
Ṿelṭ-geshikhṭe fun Yidishn folḳ fun di elṭsṭe tsayṭn biz tsu der haynṭiḳer tsayṭ,"Dubnow, Simon","Kalmanovitch, Zelig",История еврейского народа,Russian,,,,5,nybc206960,1938-01-01T00:00:00Z,213,217265904,Vilne,"Yidisher ṿisnshafṭlekher insṭiṭuṭ, Hisṭorishe seḳtsye",1938,,,,,,,,,,,,,,
Ṿelṭ-geshikhṭe fun Yidishn folḳ fun di elṭsṭe tsayṭn biz tsu der haynṭiḳer tsayṭ,"Dubnow, Simon","Shtif, Nokhem",История еврейского народа,Russian,,,,8,nybc206963,1938-01-01T00:00:00Z,211,138472561,Vilne,"Yidisher ṿisnshafṭlekher insṭiṭuṭ, Hisṭorishe seḳtsye",1938,,,,,,,,,,,,,,
Ṿelṭ-geshikhṭe fun Yidishn folḳ fun di elṭsṭe tsayṭn biz tsu der haynṭiḳer tsayṭ,"Dubnow, Simon","Shtif, Nokhem",История еврейского народа,Russian,,,,9,nybc206964,1938-01-01T00:00:00Z,235,166603025,Vilne,"Yidisher ṿisnshafṭlekher insṭiṭuṭ, Hisṭorishe seḳtsye",1938,,,,,,,,,,,,,,
Ṿelṭ-geshikhṭe fun Yidishn folḳ fun di elṭsṭe tsayṭn biz tsu der haynṭiḳer tsayṭ,"Dubnow, Simon","Hodes, L.",История еврейского народа,Russian,,,,3,nybc206958,1938-01-01T00:00:00Z,199,234153254,Vilne,"Yidisher ṿisnshafṭlekher insṭiṭuṭ, Hisṭorishe seḳtsye",1938,,,,,,,,,,,,,,
Ṿelṭ-geshikhṭe fun Yidishn folḳ fun di elṭsṭe tsayṭn biz tsu der haynṭiḳer tsayṭ,"Dubnow, Simon","Kalmanovitch, Zelig",История еврейского народа,Russian,,,,4,nybc206959,1938-01-01T00:00:00Z,217,135330907,Vilne,"Yidisher ṿisnshafṭlekher insṭiṭuṭ, Hisṭorishe seḳtsye",1938,,,,,,,,,,,,,,
Di naysṭe geshikhṭe fun Yidishn folḳ,"Dubnow, Simon","Shtif, Nokhem",Новейшая история еврейского народа,Russian,,,,1,nybc206925,1931-01-01T00:00:00Z,296,93580885,Warsaw,Kultur lige,1931,,,,,,,,,,,,,,
Ṿelṭ-geshikhṭe fun Yidishn folḳ fun di elṭsṭe tsayṭn biz tsu der haynṭiḳer tsayṭ,"Dubnow, Simon","Kazhdan, Kh. Sh.",История еврейского народа,Russian,,,,10,nybc206965,1938-01-01T00:00:00Z,237,260550576,Vilne,"Yidisher ṿisnshafṭlekher insṭiṭuṭ, Hisṭorishe seḳtsye",1938,,,,,,,,,,,,,,
Di naysṭe geshikhṭe fun Yidishn folḳ,"Dubnow, Simon","Hodes, L.",История еврейского народа,Russian,,,,2,nybc206926,1931-01-01T00:00:00Z,232,163862274,Warsaw,Kultur lige,1931,,,,,,,,,,,,,,
Di nayesṭe geshikhṭe funm Yidishn folḳ,"Dubnow, Simon","Shtif, Nokhem",Новейшая история еврейского народа,Russian,,,,,nybc203443,1923-01-01T00:00:00Z,311,94161431,Berlin,Yidisher liṭerarisher farlag,1923,,,,,,,,,,,,,,
Di Ḳamelyendame a roman,"Dumas, Alexandre",unknown,La Dame aux Camélias,French,Q110190169,,,,nybc207085,1925-01-01T00:00:00Z,149,42696713,New York,Hibru Poblishing Kompani,1925,,,,,,,,,,,,,,
"Medresh rabah, Ekhah Ekhah rabati",unknown,"Dunsky, S.",מדרש רבה,Hebrew,Q2917980,,,,nybc201750,1956-01-01T00:00:00Z,1015,90531916,Montreal,[Sh. Dunski Medresh Fond],1956,,,,,,,,,,,,,,
Ikh gloyb nishṭ ..,"Bąk, Władysław","Luden, Yitskhok",Nie wierzę…,Polish,,,,,nybc206066,1970-01-01T00:00:00Z,111,25822675,Tel-Aviv,Palpres,1970,,,,,,,,,,,,,,
"Naye geshikhṭe, 1789-1870 lernbukh farn 8-ṭn ḳlas fun der miṭlshul","Yefimov, A.","Gen, T.",Новая история 1650—1870 учебник для 8 класса,Russian,,,,,nybc211046,1941-01-01T00:00:00Z,171,166445750,Moscow,"Melukhe-farlag ""Der emes""",1941,,,,,,,,,,,,,,
Der Rav a hisṭorishe dertseylung ṿegn dem lebn un di tsayṭn fun Rabi Sheneʼur Zalman fun Lyadi,"Ehrmann, Naftali","Hodakov, Etl",Der Raw,German,,,,,nybc205398,1985-01-01T00:00:00Z,209,56764743,Brooklyn,Kehot,1985,,,,,,,,,,,,,,
Der Bris Ḥadoshe,unknown,"Einspruch, Henry",The New Testament,,Q18813,,,,nybc206335,1959-01-01T00:00:00Z,508,202570592,Baltimore,Leybush un Khaye Lederer Fond,1959,,,,,,,,,,,,,,
Der Bris Ḥadoshe,unknown,"Einspruch, Henry",The New Testament,,Q18813,,,,nybc206334,1941-01-01T00:00:00Z,363,202488734,Baltimore,Der Leybush un Khaye Lederer Fond,1941,,,,,,,,,,,,,,
Der anarkhizm,"Eltzbacher, Paul","Merison, Y. A.",Der Anarchismus,German,Q54802640,,,,nybc209099,1909-01-01T00:00:00Z,248,85600124,New York,Internatsyonale biblyothek ferlag ko.,1909,,,,,,,,,,,,,,
Ludṿig Feyerbakh un der oysloz fun der ḳlasisher Dayṭshisher filosofye,"Engels, Friedrich","Wiener, Samuel",Ludwig Feuerbach und der Ausgang der klassischen deutschen Philosophie,German,Q1503783,,,,nybc203272,1943-01-01T00:00:00Z,459,34475078,New York,Ikuf,1943,,,,,,,,,,,,,,
Di familye amol un haynṭ...,"Engels, Friedrich","Faygenboym, B","Der Ursprung der Familie, des Privateigenthums und des Staats",German,Q1197765,,,,nybc209112,1918-01-01T00:00:00Z,266,117055299,New York,Forverts,1918,,,,,,,,,,,,,,
In gerangl fun oyfboy,"Eshkol, Levi","Bronshteyn, Tsvi",בחבלי התנחלות,Hebrew,,,https://benyehuda.org/read/41550,,nybc206019,1963-01-01T00:00:00Z,163,180136159,Buenos Aires,Ḳiyum,1963,,,,,,,"Eyzen, A.",,,,,"Mozes, Akiva",,
Di Yidishe ṭokhṭer fun Ṭoledo,"Feuchtwanger, Lion","Rakovski, Mark",Die Jüdin von Toledo,German,Q638479,,,1,nybc209418,1960-01-01T00:00:00Z,187,79712296,Warsaw,Yidish bukh,1960,,,,,,,,,,,,,,
Di Yidishe ṭokhṭer fun Ṭoledo,"Feuchtwanger, Lion","Rakovski, Mark",Die Jüdin von Toledo,German,Q638479,,,2,nybc209419,1960-01-01T00:00:00Z,148,51815209,Warsaw,Yidish bukh,1960,,,,,,,,,,,,,,
Yud Zis roman,"Feuchtwanger, Lion","Razumni, Mark",Jud Süss,German,Q1710847,,,4,nybc201208,1928-01-01T00:00:00Z,169,36221496,Riga,Bikher far alemen,1928,,,,,,,,,,,,,,
Yud Zis roman,"Feuchtwanger, Lion","Razumni, Mark",Jud Süss,German,Q1710848,,,3,nybc201207,1928-01-01T00:00:00Z,169,54023490,Riga,Bikher far alemen,1928,,,,,,,,,,,,,,
Yud Zis roman,"Feuchtwanger, Lion","Razumni, Mark",Jud Süss,German,Q1710849,,,2,nybc201206,1928-01-01T00:00:00Z,217,38541873,Riga,Bikher far alemen,1928,,,,,,,,,,,,,,
Yud Zis roman,"Feuchtwanger, Lion","Razumni, Mark",Jud Süss,German,Q1710850,,,1,nybc201205,1928-01-01T00:00:00Z,327,56561350,Riga,Bikher far alemen,1928,,,,,,,,,,,,,,
Memuaren,"Figner, Vera","Osherowitch, M.",Запечатлённый труд,German,,,,3,nybc209452,1925-01-01T00:00:00Z,162,48597463,New York,Veker,1925,,,,,,,,,,,,,,
Memuaren,"Figner, Vera","Osherowitch, M.",Запечатлённый труд,German,,,,1,nybc209450,1925-01-01T00:00:00Z,190,155229788,New York,Veker,1925,,,,,,,,,,,,,,
